dataset,tagA,tagB,consistency,support
Insurance,injury_related,cost_outcome,100,4
Insurance,liability,cost_outcome,100,4
Insurance,loss_event,cost_outcome,100,4
Insurance,demographic,driver_ability,100,4
Insurance,person_related,downstream_consequence,100,4
Insurance,vehicle_property,downstream_consequence,100,4
Insurance,exogenous,driver_ability,100,4
Insurance,injury_related,monetary_value,100,4
Insurance,liability,monetary_value,100,4
Insurance,person_related,theft_protection,100,4
Insurance,person_related,theft_related,100,4
Insurance,vehicle_property,theft_related,100,4
Insurance,age_dependent,accident_related,100,3
Insurance,demographic,accident_related,100,3
Insurance,exogenous,accident_related,100,3
Insurance,accident_related,property_damage,100,3
Insurance,vehicle_property,accident_related,100,3
Insurance,age_dependent,vehicle_property,100,3
Insurance,age_dependent,vehicle_related,100,3
Insurance,vehicle_property,cost_outcome,100,3
Insurance,demographic,education_training,100,3
Insurance,demographic,vehicle_property,100,3
Insurance,demographic,vehicle_related,100,3
Insurance,physical_protection,downstream_consequence,100,3
Insurance,severity_modifier,downstream_consequence,100,3
Insurance,exogenous,education_training,100,3
Insurance,exogenous,theft_related,100,3
Insurance,liability,property_damage,100,3
Insurance,severity_modifier,liability,100,3
Insurance,loss_event,property_damage,100,3
Insurance,risk_factor,loss_event,100,3
Insurance,socioeconomic_dependent,loss_event,100,3
Insurance,theft_related,loss_event,100,3
Insurance,vehicle_property,loss_event,100,3
Insurance,severity_modifier,monetary_value,100,3
Insurance,personality_trait,risk_factor,100,3
Insurance,personality_trait,socioeconomic_dependent,100,3
Insurance,personality_trait,vehicle_property,100,3
Insurance,personality_trait,vehicle_related,100,3
Insurance,vehicle_property,property_damage,100,3
Insurance,exogenous,socioeconomic_dependent,88,9
Insurance,vehicle_related,monetary_value,87,8
Insurance,exogenous,age_dependent,85,7
Insurance,vehicle_related,downstream_consequence,85,7
Insurance,vehicle_property,injury_related,85,7
Insurance,person_related,vehicle_property,85,7
Insurance,person_related,vehicle_related,85,7
Insurance,vehicle_property,safety_feature,85,7
Insurance,vehicle_related,safety_feature,85,7
Insurance,severity_modifier,injury_related,83,6
Insurance,vehicle_related,property_damage,83,6
Insurance,person_related,risk_factor,80,10
Insurance,socioeconomic_dependent,vehicle_related,80,10
Insurance,severity_modifier,accident_related,80,5
Insurance,age_dependent,driver_ability,80,5
Insurance,person_related,education_training,80,5
Insurance,loss_event,monetary_value,80,5
Insurance,socioeconomic_dependent,vehicle_property,77,9
Insurance,person_related,socioeconomic_dependent,76,13
Insurance,vehicle_related,injury_related,75,8
Insurance,vehicle_property,physical_protection,75,8
Insurance,driver_ability,accident_related,75,4
Insurance,age_dependent,socioeconomic_dependent,75,4
Insurance,driver_ability,risk_factor,75,4
Insurance,physical_protection,injury_related,75,4
Insurance,safety_feature,injury_related,75,4
Insurance,socioeconomic_dependent,risk_factor,75,4
Insurance,socioeconomic_dependent,severity_modifier,75,4
Insurance,demographic,person_related,72,11
Insurance,person_related,driver_ability,72,11
Insurance,exogenous,person_related,72,11
Insurance,person_related,accident_related,70,10
Insurance,vehicle_related,physical_protection,66,9
Insurance,vehicle_property,severity_modifier,66,9
Insurance,vehicle_related,theft_related,66,6
Insurance,loss_event,accident_related,66,3
Insurance,exogenous,personality_trait,66,3
Insurance,injury_related,liability,66,3
Insurance,person_related,liability,66,3
Insurance,vehicle_related,liability,66,3
Insurance,theft_related,monetary_value,66,3
Insurance,person_related,severity_modifier,66,3
Insurance,physical_protection,safety_feature,66,3
Insurance,severity_modifier,safety_feature,66,3
Insurance,vehicle_related,severity_modifier,60,10
Insurance,injury_related,accident_related,60,5
Insurance,accident_related,liability,60,5
Insurance,risk_factor,accident_related,60,5
Insurance,vehicle_related,accident_related,60,5
Insurance,downstream_consequence,cost_outcome,60,5
Insurance,monetary_value,cost_outcome,60,5
Insurance,property_damage,cost_outcome,60,5
Insurance,exogenous,demographic,60,5
Insurance,vehicle_related,loss_event,60,5
Insurance,personality_trait,person_related,60,5
Insurance,person_related,age_dependent,57,14
Insurance,vehicle_property,vehicle_related,54,22
Alarm,equipment,airway,100,8
Alarm,root_cause,latent_physiology,100,8
Alarm,cardiac,observed_indicator,100,7
Alarm,equipment,measurement,100,7
Alarm,equipment,observed_indicator,100,7
Alarm,pathological_condition,latent_physiology,100,7
Alarm,airway,latent_physiology,100,6
Alarm,airway,measurement,100,6
Alarm,airway,observed_indicator,100,6
Alarm,airway,pulmonary,100,6
Alarm,cardiac,measurement,100,6
Alarm,pathological_condition,hemodynamic,100,6
Alarm,root_cause,hemodynamic,100,6
Alarm,ventilation,measurement,100,6
Alarm,ventilation,observed_indicator,100,6
Alarm,pathological_condition,cardiac,100,5
Alarm,root_cause,cardiac,100,5
Alarm,pulmonary,downstream_physiological,100,5
Alarm,equipment,latent_physiology,100,5
Alarm,equipment,pulmonary,100,5
Alarm,volume,hemodynamic,100,5
Alarm,pathological_condition,left_ventricle,100,5
Alarm,root_cause,left_ventricle,100,5
Alarm,pulmonary,measurement,100,5
Alarm,pulmonary,observed_indicator,100,5
Alarm,airway,gas_exchange,100,4
Alarm,autonomic_response,heart_rate,100,4
Alarm,pathological_condition,circulatory,100,4
Alarm,root_cause,circulatory,100,4
Alarm,clinical_setting,latent_physiology,100,4
Alarm,clinical_setting,pulmonary,100,4
Alarm,mechanical_ventilation,gas_exchange,100,4
Alarm,hemodynamic,measurement,100,4
Alarm,hemodynamic,observed_indicator,100,4
Alarm,pathological_condition,volume,100,4
Alarm,root_cause,volume,100,4
Alarm,clinical_setting,airway,100,3
Alarm,airway,pressure,100,3
Alarm,root_cause,airway,100,3
Alarm,autonomic_response,heart_rate_sensor,100,3
Alarm,mechanical_ventilation,blood_gas,100,3
Alarm,cardiac,heart_rate_sensor,100,3
Alarm,cardiac,pressure,100,3
Alarm,left_ventricle,circulatory,100,3
Alarm,volume,circulatory,100,3
Alarm,clinical_setting,gas_exchange,100,3
Alarm,downstream_physiological,heart_rate_sensor,100,3
Alarm,mechanical_ventilation,downstream_physiological,100,3
Alarm,equipment,heart_rate,100,3
Alarm,equipment,heart_rate_sensor,100,3
Alarm,equipment,pressure,100,3
Alarm,gas_exchange,measurement,100,3
Alarm,gas_exchange,observed_indicator,100,3
Alarm,heart_rate,heart_rate_sensor,100,3
Alarm,heart_rate,measurement,100,3
Alarm,heart_rate,observed_indicator,100,3
Alarm,sensor_artifact,heart_rate,100,3
Alarm,latent_physiology,heart_rate_sensor,100,3
Alarm,sensor_artifact,heart_rate_sensor,100,3
Alarm,left_ventricle,observed_indicator,100,3
Alarm,mechanical_ventilation,measurement,100,3
Alarm,oxygenation,measurement,100,3
Alarm,sensor_artifact,measurement,100,3
Alarm,mechanical_ventilation,observed_indicator,100,3
Alarm,root_cause,mechanical_ventilation,100,3
Alarm,oxygenation,observed_indicator,100,3
Alarm,root_cause,observed_indicator,100,3
Alarm,sensor_artifact,observed_indicator,100,3
Alarm,root_cause,pressure,100,3
Alarm,ventilation,pressure,100,3
Alarm,root_cause,pulmonary,100,3
Alarm,root_cause,ventilation,100,3
Alarm,latent_physiology,measurement,92,13
Alarm,latent_physiology,observed_indicator,92,13
Alarm,cardiac,hemodynamic,87,8
Alarm,pulmonary,gas_exchange,87,8
Alarm,clinical_setting,mechanical_ventilation,85,7
Alarm,clinical_setting,ventilation,85,7
Alarm,downstream_physiological,measurement,85,7
Alarm,downstream_physiological,observed_indicator,85,7
Alarm,ventilation,gas_exchange,85,7
Alarm,pulmonary,blood_gas,83,6
Alarm,left_ventricle,hemodynamic,83,6
Alarm,autonomic_response,measurement,80,5
Alarm,autonomic_response,observed_indicator,80,5
Alarm,downstream_physiological,heart_rate,80,5
Alarm,oxygenation,downstream_physiological,80,5
Alarm,fluid_status,hemodynamic,80,5
Alarm,latent_physiology,heart_rate,80,5
Alarm,hemodynamic,pressure,80,5
Alarm,latent_physiology,pressure,80,5
Alarm,equipment,mechanical_ventilation,78,14
Alarm,equipment,ventilation,78,14
Alarm,gas_exchange,downstream_physiological,77,9
Alarm,latent_physiology,downstream_physiological,76,17
Alarm,latent_physiology,hemodynamic,75,8
Alarm,autonomic_response,hemodynamic,75,4
Alarm,ventilation,blood_gas,75,4
Alarm,cardiac,heart_rate,75,4
Alarm,vascular_resistance,circulatory,75,4
Alarm,ventilation,downstream_physiological,75,4
Alarm,left_ventricle,latent_physiology,75,4
Alarm,volume,latent_physiology,75,4
Alarm,airway,mechanical_ventilation,71,14
Alarm,autonomic_response,circulatory,71,7
Alarm,blood_gas,downstream_physiological,71,7
Alarm,cardiac,circulatory,71,7
Alarm,latent_physiology,circulatory,70,10
Alarm,ventilation,pulmonary,70,10
Alarm,ventilation,latent_physiology,66,12
Alarm,latent_physiology,blood_gas,66,9
Alarm,hemodynamic,downstream_physiological,66,6
Alarm,mechanical_ventilation,latent_physiology,66,6
Alarm,autonomic_response,pressure,66,3
Alarm,circulatory,measurement,66,3
Alarm,circulatory,observed_indicator,66,3
Alarm,clinical_setting,equipment,66,3
Alarm,pressure,downstream_physiological,66,3
Alarm,fluid_status,latent_physiology,66,3
Alarm,vascular_resistance,hemodynamic,66,3
Alarm,vascular_resistance,pressure,66,3
Alarm,ventilation,volume,66,3
Alarm,latent_physiology,gas_exchange,63,11
Alarm,autonomic_response,downstream_physiological,62,8
Alarm,autonomic_response,latent_physiology,62,8
Alarm,gas_exchange,blood_gas,62,8
Alarm,hemodynamic,circulatory,62,8
Alarm,ventilation,mechanical_ventilation,61,21
Alarm,oxygenation,blood_gas,60,5
Alarm,cardiac,downstream_physiological,60,5
Alarm,volume,cardiac,60,5
Alarm,vascular_resistance,downstream_physiological,60,5
Alarm,fluid_status,left_ventricle,60,5
Alarm,vascular_resistance,latent_physiology,60,5
Alarm,volume,left_ventricle,60,5
Alarm,mechanical_ventilation,pulmonary,60,5
Alarm,airway,ventilation,57,19
Alarm,cardiac,latent_physiology,57,7
Alarm,oxygenation,gas_exchange,57,7
Alarm,pulmonary,latent_physiology,57,7
Alarm,pulmonary,oxygenation,57,7
Alarm,circulatory,downstream_physiological,55,9
Hailfinder,context,observed_input,100,10
Hailfinder,observed_input,derived_intermediate,100,8
Hailfinder,observed_input,combined_aggregate,100,6
Hailfinder,context,scenario_related,100,5
Hailfinder,derived_intermediate,scenario_related,100,4
Hailfinder,scenario_related,forecast_output,100,4
Hailfinder,observed_input,cloud,100,3
Hailfinder,satellite_derived,combined_aggregate,100,3
Hailfinder,vertical_motion,combined_aggregate,100,3
Hailfinder,context,humidity,100,3
Hailfinder,context,moisture,100,3
Hailfinder,context,surface_observation,100,3
Hailfinder,context,temperature,100,3
Hailfinder,context,wind,100,3
Hailfinder,instability,convection,100,3
Hailfinder,moisture,derived_intermediate,100,3
Hailfinder,satellite_derived,derived_intermediate,100,3
Hailfinder,scenario_related,surface_observation,100,3
Hailfinder,scenario_related,wind,100,3
Hailfinder,scenario_related,observed_input,90,11
Hailfinder,scenario_related,plains_region,83,6
Hailfinder,derived_intermediate,convection,80,5
Hailfinder,vertical_motion,derived_intermediate,75,4
Hailfinder,scenario_related,humidity,75,4
Hailfinder,instability,mountain_region,75,4
Hailfinder,scenario_related,moisture,75,4
Hailfinder,scenario_related,temperature,75,4
Hailfinder,derived_intermediate,instability,71,7
Hailfinder,cloud,derived_intermediate,66,6
Hailfinder,derived_intermediate,forecast_output,66,6
Hailfinder,morning_condition,scenario_related,66,6
Hailfinder,cloud,combined_aggregate,66,3
Hailfinder,derived_intermediate,cloud_shading,66,3
Hailfinder,instability,forecast_output,66,3
Hailfinder,plains_region,instability,66,3
Hailfinder,scenario_related,low_level_atmosphere,66,3
Hailfinder,derived_intermediate,plains_region,60,5
Hailfinder,morning_condition,instability,60,5
Hailfinder,convective_inhibition,scenario_related,57,7
Hailfinder,derived_intermediate,mountain_region,57,7
Hailfinder,instability,scenario_related,57,7
Hepar2,liver_disease,laboratory_value,100,48
Hepar2,chronic_condition,laboratory_value,100,28
Hepar2,hepatitis,laboratory_value,100,27
Hepar2,liver_disease,liver_enzyme,100,19
Hepar2,biliary_system,laboratory_value,100,13
Hepar2,liver_disease,cholestatic_marker,100,12
Hepar2,hepatitis,liver_enzyme,100,12
Hepar2,liver_disease,symptom,100,12
Hepar2,liver_disease,physical_sign,100,11
Hepar2,hepatitis,viral_serology,100,10
Hepar2,liver_disease,hepatocellular_damage_marker,100,10
Hepar2,liver_disease,viral_serology,100,10
Hepar2,liver_disease,abdominal_finding,100,9
Hepar2,liver_disease,downstream_effect,100,9
Hepar2,biliary_system,symptom,100,8
Hepar2,chronic_condition,liver_enzyme,100,8
Hepar2,disease_progression,laboratory_value,100,8
Hepar2,fibrosis_spectrum,laboratory_value,100,8
Hepar2,hepatitis,hepatitis_b_marker,100,8
Hepar2,hepatitis,symptom,100,8
Hepar2,liver_disease,hepatitis_b_marker,100,8
Hepar2,liver_disease,immune_response,100,8
Hepar2,liver_disease,liver_function_indicator,100,8
Hepar2,liver_disease,portal_hypertension_sign,100,8
Hepar2,chronic_condition,biliary_system,100,7
Hepar2,hepatitis,biliary_system,100,7
Hepar2,chronic_condition,cholestatic_marker,100,7
Hepar2,hepatitis,cholestatic_marker,100,7
Hepar2,chronic_condition,downstream_effect,100,7
Hepar2,chronic_condition,liver_function_indicator,100,7
Hepar2,patient_history,laboratory_value,100,7
Hepar2,biliary_system,cholestatic_marker,100,6
Hepar2,biliary_system,pain_related,100,6
Hepar2,chronic_condition,physical_sign,100,6
Hepar2,disease_progression,physical_sign,100,6
Hepar2,fibrosis_spectrum,physical_sign,100,6
Hepar2,hepatitis,hepatocellular_damage_marker,100,6
Hepar2,hepatitis,immune_response,100,6
Hepar2,metabolic_condition,laboratory_value,100,6
Hepar2,hepatitis,abdominal_finding,100,5
Hepar2,liver_disease,blood_parameter,100,5
Hepar2,chronic_condition,immune_response,100,5
Hepar2,chronic_condition,symptom,100,5
Hepar2,chronic_condition,viral_serology,100,5
Hepar2,liver_disease,coagulation,100,5
Hepar2,upstream_cause,hepatitis,100,5
Hepar2,laboratory_value,physical_sign,100,5
Hepar2,liver_disease,liver_exam_finding,100,5
Hepar2,liver_disease,pain_related,100,5
Hepar2,patient_history,liver_disease,100,5
Hepar2,liver_disease,synthetic_function,100,5
Hepar2,patient_history,viral_serology,100,5
Hepar2,abdominal_finding,symptom,100,4
Hepar2,demographic,biliary_system,100,4
Hepar2,biliary_system,liver_function_indicator,100,4
Hepar2,chronic_condition,blood_parameter,100,4
Hepar2,chronic_condition,coagulation,100,4
Hepar2,chronic_condition,complication,100,4
Hepar2,chronic_condition,hepatitis_b_marker,100,4
Hepar2,chronic_condition,hepatocellular_damage_marker,100,4
Hepar2,chronic_condition,pain_related,100,4
Hepar2,chronic_condition,synthetic_function,100,4
Hepar2,liver_disease,complication,100,4
Hepar2,disease_progression,downstream_effect,100,4
Hepar2,disease_progression,liver_function_indicator,100,4
Hepar2,fibrosis_spectrum,downstream_effect,100,4
Hepar2,fibrosis_spectrum,liver_function_indicator,100,4
Hepar2,hepatitis,gastrointestinal_symptom,100,4
Hepar2,liver_disease,gastrointestinal_symptom,100,4
Hepar2,patient_history,hepatitis,100,4
Hepar2,hepatitis,physical_sign,100,4
Hepar2,hepatitis,portal_hypertension_sign,100,4
Hepar2,patient_history,hepatitis_b_marker,100,4
Hepar2,liver_disease,inflammatory_marker,100,4
Hepar2,liver_disease,lipid_marker,100,4
Hepar2,liver_function_indicator,physical_sign,100,4
Hepar2,chronic_condition,abdominal_finding,100,3
Hepar2,abdominal_finding,pain_related,100,3
Hepar2,biliary_system,blood_parameter,100,3
Hepar2,biliary_system,inflammatory_marker,100,3
Hepar2,biliary_system,medical_procedure,100,3
Hepar2,biliary_system,physical_sign,100,3
Hepar2,biliary_system,skin_finding,100,3
Hepar2,cholestatic_marker,skin_finding,100,3
Hepar2,infection_transmission_route,chronic_condition,100,3
Hepar2,chronic_condition,inflammatory_marker,100,3
Hepar2,patient_history,chronic_condition,100,3
Hepar2,chronic_condition,portal_hypertension_sign,100,3
Hepar2,disease_progression,liver_enzyme,100,3
Hepar2,disease_progression,portal_hypertension_sign,100,3
Hepar2,disease_progression,synthetic_function,100,3
Hepar2,hepatitis,downstream_effect,100,3
Hepar2,fibrosis_spectrum,liver_enzyme,100,3
Hepar2,fibrosis_spectrum,portal_hypertension_sign,100,3
Hepar2,fibrosis_spectrum,synthetic_function,100,3
Hepar2,hepatitis,liver_function_indicator,100,3
Hepar2,substance_exposure,hepatitis,100,3
Hepar2,patient_history,immune_response,100,3
Hepar2,infection_transmission_route,liver_disease,100,3
Hepar2,laboratory_value,portal_hypertension_sign,100,3
Hepar2,laboratory_value,skin_finding,100,3
Hepar2,metabolic_condition,liver_enzyme,100,3
Hepar2,liver_function_indicator,skin_finding,100,3
Hepar2,patient_history,symptom,100,3
Hepar2,liver_disease,biliary_system,92,13
Hepar2,upstream_cause,liver_disease,90,10
Hepar2,chronic_condition,disease_progression,80,5
Hepar2,substance_exposure,liver_disease,80,5
Hepar2,complication,blood_parameter,75,4
Hepar2,downstream_effect,blood_parameter,75,4
Hepar2,upstream_cause,metabolic_condition,75,4
Hepar2,upstream_cause,chronic_condition,71,7
Hepar2,liver_disease,disease_progression,71,7
Hepar2,complication,laboratory_value,66,9
Hepar2,biliary_system,abdominal_finding,66,6
Hepar2,biliary_system,downstream_effect,66,6
Hepar2,liver_function_indicator,downstream_effect,66,6
Hepar2,abdominal_finding,laboratory_value,66,3
Hepar2,alcohol_related,liver_disease,66,3
Hepar2,disease_progression,biliary_system,66,3
Hepar2,chronic_condition,fibrosis_spectrum,66,3
Hepar2,hepatitis,chronic_condition,66,3
Hepar2,coagulation,complication,66,3
Hepar2,coagulation,downstream_effect,66,3
Hepar2,synthetic_function,complication,66,3
Hepar2,fibrosis_spectrum,disease_progression,66,3
Hepar2,synthetic_function,downstream_effect,66,3
Hepar2,hepatitis,liver_disease,66,3
Hepar2,chronic_condition,liver_disease,63,11
Hepar2,patient_history,medical_procedure,63,11
Hepar2,patient_history,upstream_cause,63,11
Hepar2,patient_history,infection_transmission_route,60,10
Hepar2,biliary_system,patient_history,60,5
Hepar2,chronic_condition,metabolic_condition,60,5
Hepar2,liver_disease,fibrosis_spectrum,60,5
Hepar2,upstream_cause,biliary_system,57,7
Hepar2,downstream_effect,laboratory_value,54,11
Win95Pts,root_cause,intermediate_state,100,17
Win95Pts,physical_hardware,intermediate_state,100,12
Win95Pts,root_cause,functional_status,100,11
Win95Pts,root_cause,data_flow,100,8
Win95Pts,physical_hardware,functional_status,100,8
Win95Pts,software,intermediate_state,100,8
Win95Pts,physical_hardware,local_printing,100,8
Win95Pts,root_cause,observable_symptom,100,8
Win95Pts,configuration_setting,intermediate_state,100,7
Win95Pts,configuration_setting,network,100,7
Win95Pts,software,data_flow,100,6
Win95Pts,postscript,diagnosed_problem,100,6
Win95Pts,root_cause,garbled_output,100,6
Win95Pts,print_routing,intermediate_state,100,6
Win95Pts,root_cause,local_printing,100,6
Win95Pts,root_cause,network,100,6
Win95Pts,root_cause,print_output,100,6
Win95Pts,configuration_setting,functional_status,100,5
Win95Pts,root_cause,diagnosed_problem,100,5
Win95Pts,driver,graphics_processing,100,5
Win95Pts,root_cause,font,100,5
Win95Pts,functional_status,observable_symptom,100,5
Win95Pts,software,graphics_processing,100,5
Win95Pts,physical_hardware,print_output,100,5
Win95Pts,configuration_setting,observable_symptom,100,4
Win95Pts,physical_hardware,data_flow,100,4
Win95Pts,print_output,diagnosed_problem,100,4
Win95Pts,error_condition,intermediate_state,100,4
Win95Pts,root_cause,error_condition,100,4
Win95Pts,font,functional_status,100,4
Win95Pts,font,intermediate_state,100,4
Win95Pts,print_routing,functional_status,100,4
Win95Pts,memory,intermediate_state,100,4
Win95Pts,intermediate_state,observable_symptom,100,4
Win95Pts,memory,print_output,100,4
Win95Pts,print_routing,network,100,4
Win95Pts,physical_hardware,printer_status_report,100,4
Win95Pts,root_cause,printer_status_report,100,4
Win95Pts,application,network,100,3
Win95Pts,configuration_setting,diagnosed_problem,100,3
Win95Pts,configuration_setting,graphics_processing,100,3
Win95Pts,configuration_setting,postscript,100,3
Win95Pts,physical_hardware,connectivity,100,3
Win95Pts,root_cause,connectivity,100,3
Win95Pts,driver,data_flow,100,3
Win95Pts,driver,diagnosed_problem,100,3
Win95Pts,font,diagnosed_problem,100,3
Win95Pts,intermediate_state,diagnosed_problem,100,3
Win95Pts,observable_symptom,diagnosed_problem,100,3
Win95Pts,driver,intermediate_state,100,3
Win95Pts,driver,observable_symptom,100,3
Win95Pts,driver,postscript,100,3
Win95Pts,memory,error_condition,100,3
Win95Pts,software,error_condition,100,3
Win95Pts,font,observable_symptom,100,3
Win95Pts,software,functional_status,100,3
Win95Pts,memory,garbled_output,100,3
Win95Pts,network,garbled_output,100,3
Win95Pts,physical_hardware,garbled_output,100,3
Win95Pts,software,garbled_output,100,3
Win95Pts,page_formatting,observable_symptom,100,3
Win95Pts,physical_hardware,observable_symptom,100,3
Win95Pts,page_formatting,print_output,100,3
Win95Pts,spooling,timing_performance,100,3
Win95Pts,application,intermediate_state,83,6
Win95Pts,network,observable_symptom,83,6
Win95Pts,timing_performance,observable_symptom,83,6
Win95Pts,root_cause,postscript,80,10
Win95Pts,application,data_flow,80,5
Win95Pts,garbled_output,observable_symptom,80,5
Win95Pts,intermediate_state,print_output,80,5
Win95Pts,root_cause,memory,80,5
Win95Pts,print_output,observable_symptom,80,5
Win95Pts,software,postscript,80,5
Win95Pts,connectivity,local_printing,77,9
Win95Pts,root_cause,graphics_processing,75,8
Win95Pts,postscript,observable_symptom,75,8
Win95Pts,application,functional_status,75,4
Win95Pts,data_flow,network,75,4
Win95Pts,functional_status,local_printing,75,4
Win95Pts,network,print_output,75,4
Win95Pts,functional_status,intermediate_state,72,11
Win95Pts,memory,postscript,71,7
Win95Pts,network,connectivity,66,6
Win95Pts,functional_status,network,66,6
Win95Pts,data_flow,local_printing,66,3
Win95Pts,functional_status,page_formatting,66,3
Win95Pts,garbled_output,print_output,66,3
Win95Pts,intermediate_state,timing_performance,66,3
Win95Pts,intermediate_state,graphics_processing,62,8
Win95Pts,connectivity,intermediate_state,60,15
Win95Pts,data_flow,graphics_processing,57,7
Win95Pts,connectivity,functional_status,54,11
Win95Pts,network,intermediate_state,54,11
